Organization,Project ID,IPC,Project Title,Project Description,Project Activities,Additional Information,Est Start Date,Est End Date,Budget,Cluster(s),Sectors,IA Sector(s),Cross-Cutting Issue(s),Implementing Organization(s),Partner Organization(s),Donor(s),Awardee Type,Number of People Reached (target),Calculation of Number of People Reached,Target Group(s),Country,_1st Administrative Level,_2nd Administrative Level,_3rd Administrative Level,City/Village,IDP/Refugee Camp,Latitude,Longitude,Contact Name,Contact Title,Contact E-mail,Website,Date Provided,Date Updated,Project Needs
Meds & Foods for Kids,N/A,MFK-HT-10-030,Community Management of Acute Malnutrition - Friends of the Children of Haiti,Provision of ready-to-use therapeautic food (RUTF) to implementing partners.,,,N/A,N/A,,"Health, Nutrition",Health,Health,,Friends of the Children of Haiti,Mission of Mercy,,,,,Malnourished children,Haiti,Sud-Est,,,Cyvadier,,,,"Tom Stehl, Maryse Sterlin","Coordinator of Operations, Haiti Administrator","tstehl@mfkhaiti.org, msterlin@mfkhaiti.org",,10/15/2010,,
Meds & Foods for Kids,N/A,MFK-HT-10-031,Community Management of Acute Malnutrition - The Haiti Mission,Provision of ready-to-use therapeautic food (RUTF) to implementing partners.,,,N/A,N/A,,"Health, Nutrition",Health,Health,,The Haiti Mission,,,,,,Malnourished children,Haiti,Nord,,,Tovar,,,,"Tom Stehl, Maryse Sterlin","Coordinator of Operations, Haiti Administrator","tstehl@mfkhaiti.org, msterlin@mfkhaiti.org",,10/15/2010,,
Meds & Foods for Kids,N/A,MFK-HT-10-032,Community Management of Acute Malnutrition - Good Shepherd Presbyterian Church,Provision of ready-to-use therapeautic food (RUTF) to implementing partners.,,,N/A,N/A,,"Health, Nutrition",Health,Health,,Good Shepherd Presbyterian Church,,,,,,Malnourished children,Haiti,Grand'Anse,Corail,Pestel,Pestel,,,,"Tom Stehl, Maryse Sterlin","Coordinator of Operations, Haiti Administrator","tstehl@mfkhaiti.org, msterlin@mfkhaiti.org",,10/15/2010,,
Meds & Foods for Kids,N/A,MFK-HT-10-033,Community Management of Acute Malnutrition - World Wide Village,Provision of ready-to-use therapeautic food (RUTF) to implementing partners.,,,N/A,N/A,,"Health, Nutrition",Health,Health,,World Wide Village,"Luly Medical Clinic, Port-au-Prince Orphanage, Port-au-Prince Women's Program",,,,,Malnourished children,Haiti,Nord-Ouest,,,Luly,,,,"Tom Stehl, Maryse Sterlin","Coordinator of Operations, Haiti Administrator","tstehl@mfkhaiti.org, msterlin@mfkhaiti.org",,10/15/2010,,
Meds & Foods for Kids,N/A,MFK-HT-10-034,Community Management of Acute Malnutrition,Provision of ready-to-use therapeautic food (RUTF) to implementing partners. Real Hope for Haiti Rescue Center takes in around 60 severely malnourished children at a time.,,,N/A,N/A,,"Health, Nutrition",Health,Health,,Real Hope for Haiti Rescue Center,Real Hope for Haiti Rescue Center,,,,,Malnourished children,Haiti,Ouest,,,Cazale,,,,"Tom Stehl, Maryse Sterlin","Coordinator of Operations, Haiti Administrator","tstehl@mfkhaiti.org, msterlin@mfkhaiti.org",,10/15/2010,,
Meds & Foods for Kids,N/A,MFK-HT-10-035,Community Management of Acute Malnutrition - St. Thomas Aquinas - US Medical Mission,Provision of ready-to-use therapeautic food (RUTF) to implementing partners.,,,N/A,N/A,,"Health, Nutrition",Health,Health,,St. Thomas Aquinas - US Medical Mission,,,,,,Malnourished children,Haiti,Nord,,,Baudin,,,,"Tom Stehl, Maryse Sterlin","Coordinator of Operations, Haiti Administrator","tstehl@mfkhaiti.org, msterlin@mfkhaiti.org",,10/15/2010,,
Meds & Foods for Kids,N/A,MFK-HT-10-036,Community Management of Acute Malnutrition - Terre des Hommes,Provision of ready-to-use therapeautic food (RUTF) to implementing partners.,,,N/A,N/A,,"Health, Nutrition",Health,Health,,Terre des Hommes,,,,,,Malnourished children,Haiti,Sud,Les Cayes,Les Cayes,Les Cayes,,,,"Tom Stehl, Maryse Sterlin","Coordinator of Operations, Haiti Administrator","tstehl@mfkhaiti.org, msterlin@mfkhaiti.org",,10/15/2010,,
Meds & Foods for Kids,N/A,MFK-HT-10-037,Community Management of Acute Malnutrition - International Allied Missions,Provision of ready-to-use therapeautic food (RUTF) to implementing partners.,,,N/A,N/A,,"Health, Nutrition",Health,Health,,International Allied Missions,,,,,,Malnourished children,Haiti,Ouest,Port-au-Prince,Kenscoff,Kenscoff,,,,"Tom Stehl, Maryse Sterlin","Coordinator of Operations, Haiti Administrator","tstehl@mfkhaiti.org, msterlin@mfkhaiti.org",,10/15/2010,,
Mercy Corps,1,MC-HT-10-001,"Water, Sanitation and Hygiene for Earthquake-Affected Communities","Mercy Corps’ Water, Sanitation and Hygiene (WASH) program is ensuring drinking water supply, clean latrines and basic hygiene practice for 7,000 households (approximately 42,000 individuals) along the Route des Frères and Peguy Ville in Pétionville, and Tabarre quartiers.",,,02/25/2010,02/25/2011,"$748,927",Water Sanitation and Hygiene,Water Sanitation and Hygiene,Water Sanitation and Hygiene,,Mercy Corps,,UN Office for the Coordination of Humanitarian Affairs (OCHA),," 35,000 ",,"Internally displaced persons (IDPs), Affected population(s)",Haiti,Ouest,Port-au-Prince,"Tabarre, Pétionville",Port-au-Prince,30 sites,,,Trish Morrow,WASH Sector Program Manager,tmorrow@ht.mercycorps.org,,09/24/2010,12/14/2010,
Mercy Corps,2,MC-HT-10-002,Emergency Water and Sanitation Programming,"Mercy Corps’ WASH programming seeks to improve access to safe water and sanitation for affected households.  Working closely with local communities and government leaders, the WASH team is building latrines, distributing hygiene kits, educating communities about hygiene and the prevention of water-borne diseases, and assisting with waste disposal.  Mercy Corps is also supporting small businesses by distributing vouchers to vulnerable families in camps to enable them to purchase water directly from local vendors.  This approach supports the local businesses that were in existence before the earthquake.  In preparation for rainy season, the WASH team will also assist communities to improve drainage and control flooding.   WASH activities are focused on affected areas in Tabarre and Pétionville.  ",,,01/12/2010,09/30/2011,"$807,191",Water Sanitation and Hygiene,Water Sanitation and Hygiene,Water Sanitation and Hygiene,,Mercy Corps,,ITT Corporation  ,," 35,000 ",,"Internally displaced persons (IDPs), Affected population(s)",Haiti,Ouest,Port-au-Prince,"Tabarre, Pétionville",Port-au-Prince,30 sites,,,Trish Morrow,WASH Sector Program Manager,tmorrow@ht.mercycorps.org,,09/24/2010,,
Mercy Corps,3,MC-HT-10-003,Comfort for Kids: Psychosocial Support for Children Affected by the Haiti Earthquake,"Mercy Corps Haiti’s Youth Program builds local capacity to support children and youth affected by the earthquake, and associated mental health issues. Mercy Corps is training Haitian educators, caregivers, and youth workers to better understand and respond to the emotional and physical needs of children and youth affected by crisis and traumatic events. The core emergency phase program, Comfort for Kids, also provides participants and local communities with written materials and a network of Haitian psychosocial mentors to support training messages and participants’ needs. Comfort for Kids was originally developed by Mercy Corps and partner agencies to support children affected by September 11, 2001, and has been successfully adopted to support emergency responses in the US, China, Gaza, Peru, and now Haiti.",,"Will support 150,000 children and 5,000 caregivers.",01/12/2010,03/31/2011,"$999,995",Health ,Health - Psychosocial/Youth,Health,Mental health/Psychosocial support,Mercy Corps,,Private donations,," 155,000 ",,"Children, Caregivers",Haiti,Ouest,Port-au-Prince,"Carrefour, Delmas, Gressier, Kenscoff, Pétionville, Tabarre, Cité Soleil, Port-au-Prince",Port-au-Prince,N/A,,,Kyle Dietrich,Youth/Psychosocial Program Manager,kdietrich@ht.mercycorps.org,,09/24/2010,12/15/2010,
Mercy Corps,4,MC-HT-10-004,Moving Forward: Sport-based Psychosocial Youth Project,"Moving Forward is a sport and play-based youth development project that supports the psychosocial and physical well being of youth in earthquake-affected areas throughout Haiti. Moving Forward addresses four main topics that capture the value of sport and play in emergency situations: health, psychosocial rehabilitation, education, and community building. Moving Forward activities are centered on youth development in four key areas: constructive communication, self-esteem, resiliency, and teamwork and trust building. The program has the following objectives:
• To work with several Master Trainers in the field of sport and youth development to develop an expanded cadre of 50 professional Haitian caregivers and teachers with the capacity to provide healthy, attentive and developmental programs for school-aged youth through participation in the Moving Forward Training of Trainers (ToT) methodology.
• To increase the resiliency, self-worth, self-agency, social inclusion and classroom performance of 1,500 youth in affected communities through participation in structured healing, and play-based activities in the Moving Forward program.
• To build a network of skilled youth workers, coaches, and educators committed to the physical and emotional well being of youth through sports, games, and play-based activities, which will meet monthly and engage in joint activities between groups.
• To organize two commemorative events: project launch on July 11, 2010 (World Cup Final) and project completion on January 12, 2010 (one year anniversary of the earthquake) with the goal of celebrating the role of youth and sports in renewing Haiti.
",,"Will support 1,500 youth and 60 youth workers.",07/11/2010,01/31/2011,"$150,000",Health,"Health - Psychosocial/Youth, Sport, Leadership",Health,Mental health/Psychosocial support,Mercy Corps,23 local institutions,Nike,," 1,560 ",,"Youth, Children",Haiti,Ouest,"Port-au-Prince, Léogâne ","Tabarre, Pétionville, Delmas, Carrefour, Léogâne, Cité Soleil",,N/A,,,Kyle Dietrich,"Youth/Psychosocial 
Program Manager",kdietrich@ht.mercycorps.org,,09/24/2010,12/15/2010,
Mercy Corps,5,MC-HT-10-005,Timoun Alez: Youth Educational Television Program,"The Timoun Alez TV program is an uplifting and educational program to communicate psychosocial support messages and life skills directly to children and youth. The information provided by the show will be geared toward children and adolescents, in a well-communicated manner adapted to their development and understanding level, with multimedia support, a talented and trained host, and a mix of original studio footage, interviews in the field, and short films. Through its content, the “Timoun Alèz” television show will primarily target young viewers between the ages of 5 and 15 years, with a secondary audience of young adults, parents, and caregivers. The television show will be broadcast nationwide in Creole, Haiti’s primary spoken language, 30 minutes a week, for an initial period of 13 weeks, October – December 2010. With the goal of being educational and interesting to kids and adolescents, the “Timoun Alèz” television show will address different subjects and themes such as health in general terms with an accent on mental health, emotions and behaviors, family, school, the environment, personal hygiene, conflict, education, self esteem, resiliency, trauma, team building, leadership, constructive communication, personal security, and much more. Each 30-minute program will be centered around a different theme, with a core layout, facilitating the transmission of content and messages, as well as the young audience’s understanding.
",,,09/27/2010,12/31/2010,"$43,000","Education, Health",Education/Health - Psychosocial/Chiildren and Youth; Television,"Education, Health",,Mercy Corps,"Graphcity, Local community-based organizations (CBOs)",Bright Horizons,," 10,000 ",,"Youth, Children",Haiti,Nation-wide,Nation-wide,Nation-wide,Nation-wide,,,,Kyle Dietrich,"Youth/Psychosocial 
Program Manager",kdietrich@ht.mercycorps.org,,09/24/2010,12/15/2010,
Mercy Corps,6,MC-HT-10-006,"Emergency Support to Households Hosting Earthquake-Displaced People in Center Department, Haiti","Mercy Corps will assist this community-based support to earthquake-displaced people, and help minimize the need for managed camp environments, by providing immediate economic support to displaced and host families, and by responding to immediate needs for improved water and sanitation supply. A one-time unconditional cash grant or voucher program for host families who have taken in survivors of the earthquake will ensure that these host families can meet the increased needs of their households, and avoid further impoverishment. Cash-for-work will engage the most vulnerable people in projects to address immediate priorities such as community cleanup, latrine construction and drainage canal construction in preparation for the rainy season, as well as ensuring the availability of cash at the household level so that families can address their immediate needs through local markets. ",,"Will support 7,000 host households and 20,000 internally displaced person (IDP) families.",03/22/2010,12/22/2010,"$7,500,000",Early Recovery,Economic Recovery and Development,Economic Recovery and Development,,Mercy Corps,,Office of Foreign Disaster Assistance (USAID/OFDA),," 135,000 ",,"Host households/communities, Internally displaced persons (IDPs)",Haiti,Centre,"Hinche, Mirebalais","Hinche, Mirebalais","Hinche, Mirebalais",N/A,,,Kristina Carvonis,Cash-for-Work (CFW) Project Manager,kcarvonis@ht.mercycorps.org,,09/24/2010,12/15/2010,
Mercy Corps,7,MC-HT-10-007,Cash-for-Work to Aid Economic Recovery in Port-au-Prince,"This project’s goal is for households affected by the January 2010 earthquake in Tabarre and Route des Frères to increase resources to meet their basic needs and decrease vulnerability to future shocks. The project’s objectives are: 1) that earthquake-affected households in Tabarre and Route des Frères increase their income during the project; and 2) that earthquake-affected communities have increased resilience and reduced vulnerability to shocks. Mercy Corps will reach these objectives by providing short-term employment to 5,500 households via community-prioritized Cash-for-Work projects that build resilience and reduce vulnerability to risks. The project comes at a critical time when households are concerned about the exacerbated risks of floods, landslides and diseases associated with the brink of the rain and hurricane seasons (April – August 2010). Of the 5,500 Cash-for-Work participants, approximately 50% will be women.",,,05/01/2010,09/30/2010,"$1,300,000",Early Recovery,Economic Recovery and Development,Economic Recovery and Development,Disaster risk reduction (DRR),Mercy Corps,,American Red Cross,," 27,500 ",,"Internally displaced persons (IDPs), Affected population(s)",Haiti,Ouest,Port-au-Prince,"Tabarre, Freres",Port-au-Prince ,25 sites,,,Kristina Carvonis,Cash-for-Work (CFW) Project Manager,kcarvonis@ht.mercycorps.org,,09/24/2010,,
Mercy Corps,8,MC-HT-10-008,Cash-for-Work to Aid Economic Recovery in Port-au-Prince,"Mercy Corps initiated a rapid transition from immediate emergency response to economic recovery though a cash-for-work strategy in the most severely affected communities.   This approach advanced the clean up and rehabilitation process (clearing debris from around important community resources in such as roads, market places, schools, houses and other micro-infrastructure needs) whilst providing beneficiaries with the cash resources to address their own immediate needs and increasing the flow of money back into the local economy. ",,,01/20/2010,09/30/2011,"$1,100,000",Early Recovery,Economic Recovery and Development,Economic Recovery and Development,,Mercy Corps,,Private donations,," 29,785 ",,"Internally displaced persons (IDPs), Affected population(s), Small- and medium-sized enterprises (SMEs)",Haiti,Ouest,Port-au-Prince,"Tabarre, Pétionville",,,,,Kristina Carvonis,Cash-for-Work (CFW) Project Manager,kcarvonis@ht.mercycorps.org,,09/24/2010,12/15/2010,
Mercy Corps,9,MC-HT-10-009,Kenbe-la (Hang in There) Program: Giving Choices to Earthquake Survivors Outside of Port-au-Prince,"Mercy Corps will distribute vouchers, redeemable from local stores, for US$40 worth of grain, cooking oil and beans to displaced and host households. Illustratively, this would allow a recipient to purchase 20 kg of rice, 4 kg of red beans and 1 gallon of oil every month.  Vouchers are preferable to direct in-kind food distribution, given the current market conditions.  Vouchers will allow beneficiaries to access food through existing market actors, will support the quick recovery of small businesses in the food market chain, and will help spur local production by increasing the purchasing power of beneficiaries, which will translate into increased demand for locally produced goods. ",,,07/01/2010,06/30/2011,"$12,462,861",Food Security and Agriculture,Emergency Response,"Food Aid, Economic Recovery and Development",,Mercy Corps,Unitransfer,Office of Food for Peace (USAID/FFP),," 100,000 ",,"Internally displaced persons (IDPs), Host households/communities, Small business owners",Haiti,"Centre, Artibonite","Hinche, Mirebalais, Saint-Marc","Cerca-Carvajal, Hinche, Maïssade, Thomonde, Boucan-Carré, Mirebalais, Saut-d'Eau, La Chapelle, Verrettes, Saint-Marc",All sections communales,,,,Raymond Chevalier,Deputy Country Director,rchevalier@ht.mercycorps.org,,09/24/2010,,
Mercy Corps,10,MC-HT-10-010,Kimbe-La/Shelter and Non-Food Items Program: Giving Choices to Earthquake Survivors Outside of Port-au-Prince,"With this Program Mercy Corps is targeting communes in Center and Artibonite Departments, which received the highest number of displaced people after the January 12, 2010 earthquake.  American Red Cross funding will complement Mercy Corps' cash-for-work program in the Central Plateau and will provide more comprehensive support to host families, potentially creating a “pull factor” in a region with strong potential in the medium and long-term for sustainable economic development outside the capital.  Mercy Corps will do this through 1) provision of shelter, household and water, sanitation and hygiene (WASH) items through voucher system in market fairs, and 2) provision of technical assistance to improve understanding of disaster risk reduction principles and good hygiene and sanitation practices. The program will also target female headed households by provision of inputs to support start-up of immediate income-generating activities.  ",,"10,000 households for non-food items/shelter support and 5,000 individuals for livelihood support",07/01/2010,06/30/2011,"$4,850,155","Water Sanitation and Hygiene, Shelter and Non-Food Items",Emergency Response,"Shelter and Housing, Water Sanitation and Hygiene, Economic Recovery and Development",Disaster risk reduction (DRR),Mercy Corps,,American Red Cross,," 74,000 ",,"Host households/communities, Internally displaced persons (IDPs), Small business owners",Haiti,"Centre, Artibonite",Hinche,"Cerca-Carvajal, Hinche, Maïssade, Thomonde, Boucan-Carré, Mirebalais, Saut-d'Eau, La Chapelle, Verrettes, Saint-Marc",,,,,Raymond Chevalier,Deputy Country Director,rchevalier@ht.mercycorps.org,,09/24/2010,,
Mercy Corps,11,MC-HT-10-011,Catostrophic Micro-Insurance Pilot,"With assistance from MercyCorps, Fonkoze’s earthquake recovery program, Kore Fanmi Fonkoze, is treating clients in Léogâne as if they were already paying into a catastrophic micro-insurance plan when the earthquake hit. In essence, Fonkoze, with the help of MercyCorps, is turning this devastating disaster into an opportunity to innovate and test micro-insurance as a tool to help clients stabilize and rebuild their livelihoods following natural disasters. In addition to the micro-insurance payout, Fonkoze will develop and deliver a new education module on disaster risk reduction and safe home construction. During these trainings, Fonkoze will incorporate lessons about insurance as an important tool to help mitigate the negative economic impact of future natural disasters on clients and their families. Fonkoze will use the lessons learned from this pilot to refine and roll out our permanent catastrophic micro-insurance product and this new disaster training module. Grants from the American Red Cross, Citi Foundation, Seachange, and Opportunity International Germany will allow Fonkoze to scale-up the MercyCorps-funded pilot to bring this same disaster relief and livelihoods recovery program to earthquake-affected clients in all of Fonkoze's 41 branches.",,"Delivered 5,000 Haitian Gourdes (HTG) indemnity payments to 601 Léogâne clients",02/19/2010,11/30/2010,"$174,075",Early Recovery,Economic Recovery and Development,Economic Recovery and Development,Disaster risk reduction (DRR),Mercy Corps,Fonkoze,Private donations,, 601 ,,"Internally displaced persons (IDPs), Affected population(s), Small business owners",Haiti,Ouest,Léogâne ,Léogâne,,,,,Koko Sossouvi,Economic Recovery Program Manager,ksossouvi@ht.mercycorps.org,,12/15/2010,,
Mercy Corps,12,MC-HT-10-012,Art Therapy and Youth Storytelling Project,"Mercy Corps will promote arts therapy and visual storytelling as a therapeutic and youth empowerment mechanism through collaboration with U.S. and Haitian experts.  It will build the capacity and skill sets of caregivers, educators, artists and youth to support the psychosocial needs of children and youth.  It will also provide psychosocial support to children and youth through community and school based programming and the sponsorship of commemorative events. It will increase the number and range of printed materials available to support caregivers.",,"Will work with 40 institutions, 80 mentors, and 2000 youth and children affected by the earthquake.",09/01/2010,02/28/2012,"$241,000","Education, Health",Education/Health,"Education, Health",Mental health/Psychosocial support,Mercy Corps,40 local institutions,"US Department of State, Mercy Corps private funds",," 2,080 ",,"Children, Youth",Haiti,Ouest,Port-au-Prince,"Carrefour, Delmas, Gressier, Kenscoff, Pétionville, Tabarre, Cité Soleil, Port-au-Prince",,,,,Kyle Dietrich,Youth/Psychosocial Program Manager,kdietrick@ht.mercycorps.org,,12/15/2010,,
Mercy Corps,13,MC-HT-10-013,Emergency Cholera Response to At Risk Communities in the Central Plateau,"This is Mercy Corps' strategy for an emergency intervention to help reduce cholera transmission in the Center Department and prevent further loss of life. Mercy Corps is engaging in hygiene promotion by existing and new volunteers, non-food items (NFI) distribution, and establishing and training hygiene committees in eight communal sections. Mercy Corps will use local resources and volunteers to enable the program to have the widest reach possible in a short period of time and to ensure messages are relayed after the program period. The program is consistent with local government strategies and builds upon requests local government has made of international partners at coordination forums.",,"Approximately 77,000 people will be reached directly through hygiene promotion activities or NFI distribution. An estimated 300,000 individuals, which is half of the the entire population of the Centre Department, will have access to public health messages on the radio and benefit from the communal level training of local volunteers and community leaders.",11/15/2010,02/14/2011,"$432,428","Water Sanitation and Hygiene, Shelter and Non-Food Items",Water Sanitation and Hygiene,"Water Sanitation and Hygiene, Health, Education",,Mercy Corps,Haitian Red Cross,Office of Foreign Disaster Assistance (USAID/OFDA),," 77,000 ",,Cholera affected population,Haiti,Centre,"Hinche, Mirebalais","Hinche, Mirebalais","Juanaria, Marmont, Aguahidionde rive droite, Aguahidionde rive gauche, Crete Brulee, Grand Boucan, Gascogne and Sardzin",,,,Brian Oakes,Country Director,boaks@ht.mercycorps.org,,12/15/2010,,
Mercy Corps,14,MC-HT-10-014,Haiti Small and Medium Enterprise Recovery and Development Program,"Mercy Corps will work with local enterprise development institutions to develop a business mentoring and training platform that will provide Haiti's entrepreneurs with the guidance and know-how they need to build successful businesses. The first phase of the program, lasting one year and sponsored by the Western Union Foundation, will provide training and mentoring to 500 small and growing businesses in four departments - Ouest (Port-au-Prince), Nord (Cap-Haïtien), Sud-Est (Jacmel), and Centre (Hinche). The program will build and train a corps of local mentors in addition to engaging the Haitian Diaspora and international business community, creating a powerful network of support for Haiti's emerging entrepreneurs. The program will be steadily integrated into local enterprise development institutions in order to help these organizations provide mentoring services to their clients, offer participants access to a full compliment of business development services, including access to financing, and better ensure the long-term sustainability of the program.

",,500 small- and medium-sized entersprises (SMEs),12/01/2010,11/30/2011,"$500,000",Early Recovery,Economic Recovery and Development,Economic Recovery and Development,,Mercy Corps,,Western Union Foundation,, 500 ,,,Haiti,Ouest,Port-au-Prince,"Carrefour, Delmas, Gressier, Kenscoff, Pétionville, Tabarre, Cité Soleil, Port-au-Prince",,,,,Koko Sossouvi,Economic Recovery Program Manager,ksossouvi@ht.mercycorps.org,,12/15/2010,,
Mercy Corps,15,MC-HT-10-015,Mobile Money Prorgam Integration,Mercy Corps will foster financial inclusion over the longer term for displaced and vulnerable rural populations in Haiti by championing the use of mobile money in its humanitarian response. It will do this by: 1) staging the distribution of funds and 2) coordinating with vendors selected for mobile money acceptance. Mercy Corps will develop integrated beneficiary and vendor training curricula and ensure that all actors are motivated and incentivized to support a mobile money ecosystem appropriate for the program activities.,,"Will support 5,000 households (of 20,000 total beneficiaries from the Local and Regional Procurement program)",10/18/2010,10/17/2011,"$530,152",Early Recovery,Economic Recovery and Development,Economic Recovery and Development,,Mercy Corps,,"Hi-Five, Academy for Educational Development, US Agency for International Development (USAID)",," 5,000 ",,"Internally displaced persons (IDPs), Host households/communities, Small business owners",Haiti,Artibonite,"Saint-Marc, Mirebalais","Saint-Marc, Verrettes, La Chapelle",,,,,Koko Sossouvi,Economic Recovery Program Manager,ksossouvi@ht.mercycorps.org,,12/15/2010,,
Mercy Corps,16,MC-HT-10-016,Cholera Prevention in Port-au-Prince,"Mercy Corps will work to reduce the further spread of cholera by increasing public awareness about the prevention of the disease and promoting improved hygiene practices while building the capacity of local communities to respond to future outbreaks.  It will also distribute non-food items (NFIs) to targeted, at-risk populations in Port-au-Prince.  MC will also train volunteers from thirty distinct neighborhoods in either Tabarre or Pétionville communities and form thirty hygiene committees.",,"An estimated 13,000 individuals will be reached directly by Mercy Corps-trained and -sponsored
public health promoters and/or the drama groups.",12/03/2010,06/03/2011,"$50,000","Water Sanitation and Hygiene, Shelter and Non-Food Items",Water Sanitation and Hygiene,"Water Sanitation and Hygiene, Health, Education",,Mercy Corps,,Prem Rawat Foundation,," 13,000 ",,Internally displaced persons (IDPs),Haiti,Ouest,Port-au-Prince,"Tabarre, Pétionville",,,,,Brian Oakes,Country Director,boaks@ht.mercycorps.org,,12/15/2010,,
Operation Blessing International,1,OBI-HT-10-001,Water Purification Systems,"Operation Blessing has installed water purification systems in various locations, including camps and three systems at the National University Hospital (HUEH).  Units have a daily output capacity of 10,000 gallons per day.",,,02/01/2010,02/01/2010,,Water Sanitation and Hygiene,,Water Sanitation and Hygiene,,,,,," 29,500 ",,,Haiti,"Ouest, Artibonite","Port-au-Prince, Croix-des-Bouquets, Saint-Marc, Léogâne","Delmas, Port-au-Prince, Cité Soleil, Pétionville, Croix-des-Bouquets, Saint-Marc, Léogâne","Cite Militaire, Delmas 33, Port-au-Prince, Cité Soleil, Pétionville, Croix-des-Bouquets, St. Marc, Mirault, Sarthe, Saintard, Léogâne","Camp Dadadou, Church Camp, Simon Camp, Super Nova Camp, Camp Vilaj Elie, National Stadium Sylvio Cator, National University Hospital (HUEH), Cité Soleil School, Pétionville School, St. Marc Church, John Chew's Community Farm, Camp Locou Doyen, Rue Aral Church, Camp Germain, Mission Outreach Haiti, Good Samaritan Foundation","18.558453, 18.56530, 18.564481, 18.562575, 18.562781, 18.536347, 18.539883, 18.570978, 18.516339, 18.573806, 0, 19.071881, 0, 18.828847, 0, 18.516108, 18.570256","-72.321164, -72.322886, -72.319608, -72.288206, -72.343264, -72.339889, -72.32755, -72.294542, -72.240306, 0, -72.452992, 0, -72.531428, 0, -72.531428, 0, -72.643394, -72.317472",,,,,09/22/2010,,
Operation Blessing International,2,OBI-HT-10-002,Food Security/Feeding,"Operation Blessing has a network of 17 local Haitian partnering groups.  This network comes to OBI's warehouse near the PaP airport and collects food kits on a weekly basis. Each kit contains approximately 3-4 pallets worth of food, enough to feed 250 people for the week.  Through this program OBI is feeding 4,500 Haitians every day.  In addition, part of OBI's feeding program is in association with the WFP to three locations outside of Port-au-Prince.",,,,,,Food Security and Agriculture,,Food Aid,,"World Food Program (WFP), 17 local Haitian groups",,,," 4,500 ",,,Haiti,,,,,,0,0,,,,,09/22/2010,,
Operation Blessing International,3,OBI-HT-10-003,Medicine,"Operation Blessing has a second warehouse near the U.S. Embassy where OBI is staging medical donations including a huge consignment of medicine from one of the largest U.S.-based pharmaceutical companies valued at more than $150 million USD, and these meds are being used in partnership with the Haiti Ministry of Health and one of OBI's partnering agencies, Partners in Health.",,,,,,Health,,Health,,"Haiti Ministry of Health, Partners in Health",,,,,,,Haiti,,,,,near the US Embassy,0,0,,,,,09/22/2010,,
Operation Blessing International,4,OBI-HT-10-004,Education,Operation Blessing has a large school in Camp Dadadou serving over 700 children and is also operating a feeding program at the school providing the children one nutritious meal per day.,,,,,,Nutrition,,Health,,,,,, 700 ,,Children,Haiti,Ouest,Port-au-Prince,Port-au-Prince,,Camp Dadadou,18.558453,-72.321164,,,,,09/22/2010,,
Operation Blessing International,5,OBI-HT-10-005,Orphans and Vulnerable Children (OVC),"Operation Blessing and Partners in Health are building a center for abandoned children with disabilities in Port-au-Prince, named Zanmi Beni. After the earthquake hit, 40 disabled and orphaned children were evacuated by PIH from the General Hospital, where some had been for months or even several years before the quake hit and taken to St. Damien Hospital. Now these disabled children will be moved to a residential care and school center that is a joint effort between Operation Blessing and Partners in Heath. ",,,,,,"Health, Protection",,"Health, Protection",,Partners in Health,,,,,,,Haiti,Ouest,Port-au-Prince,Port-au-Prince,,Zanmi Beni,18.5385,-72.3373,,,,,09/22/2010,,
Operation Blessing International,6,OBI-HT-10-006,Clean Water for Hospitals,"Operation Blessing has two ongoing projects focused on providing clean water to hospitals. Incredibly, none of the general hospitals in the country have clean, running water and it is not uncommon for doctors (and even patients) to bring their own clean water with them to the hospital in order to wash their hands and sterilize equipment. At the request of the United Nations Special Envoy To Haiti (Bill Clinton), OBI is assessing all ten general hospitals over the next 5 months to identify the cause of the problems and offer possible solutions on a hospital-by-hospital basis. OBI is also working with Dr. Paul Farmer’s organization, Partners In Health, to bring running potable water to several other hospitals. In the first hospital OBI visited, Belladere Hospital, more than half of the pediatric patients were suffering from illnesses related to contaminated water. OBI took action and installed new piping, connected the hospital to the city water line and installed filters, an ultraviolet light purification system and new plumbing throughout the hospital.",,,,,,"Water Sanitation and Hygiene, Health",,Water Sanitation and Hygiene,,Partners in Health,,,,,,,Haiti,,,,,,0,0,,,,http://www.ob.org/haitiprojects/hospital.asp,09/22/2010,,
Operation Blessing International,7,OBI-HT-10-007,St. Damien's/St. Luke's Hospital,"Operation Blessing is building a new operating room facility at St. Damien's/St. Luke's Hospital as part of their new family care division. We have also established a strategic partnership with U.S. surgical teams that volunteer time and services at St. Damien's to do surgeries, post operative care and education initiatives. ",,,,,,Health,,Health,,,,,,,,,Haiti,Ouest,Port-au-Prince,,,,,,,,,,09/22/2010,,
Operation Blessing International,8,OBI-HT-10-008,Assistance to National University Hospital (HUEH),"Operation Blessing will install a new oxygen concentrator, repair an existing X-ray machine and install 2 new X-ray machines, and conduct an emergency repair of the morgue's freezer system at HUEH. We have already completed the renovation of the hospital's laundry facility, which included the installation and maintenance of new washer and dryers for the hospital (previously, all laundry was done by hand); provided HUEH with a $50,000 cash gift to help facilitate overtime efforts by staff; and installed three 10,000 gallon/day water purification units (as part of our Water Purification Systems project).",,,,,,Health,,Health,,,Proctor & Gamble,,,,,,Haiti,Ouest,Port-au-Prince,Port-au-Prince,,,18.539883,-72.339889,,,,,09/22/2010,,
